title,genre,year,rating,votes,runtime_min,director,language,country,budget_million,gross_million,metascore,profit_million,roi_percent
Movie Title 56,Documentary,1996,7.5,1902740,92,Coen Brothers,English,Australia,255.3,366.6,54.0,111.3,43.6
Movie Title 57,Action,2015,8.5,1455089,188,Quentin Tarantino,Korean,Germany,0.0,0.5,,0.5,-50.0
Movie Title 58,Animation,2019,7.5,69323,139,Martin Scorsese,Japanese,South Korea,57.1,377.8,90.0,320.7,561.6
Movie Title 59,Thriller,1983,6.2,1335536,153,Alfonso Cuaron,Hindi,Japan,57.5,151.2,65.0,93.7,163.0
Movie Title 60,Thriller,1981,4.7,1614559,170,Wes Anderson,Korean,Germany,36.7,122.3,,85.6,233.2
Movie Title 61,Sci-Fi,1985,4.7,1462494,153,David Fincher,Spanish,India,30.3,124.9,64.0,94.6,312.2
Movie Title 62,Animation,2021,4.9,419458,97,Martin Scorsese,Spanish,UK,36.5,246.3,32.0,209.8,574.8
Movie Title 63,Sci-Fi,1983,6.5,1105417,205,Denis Villeneuve,Japanese,France,32.2,169.9,29.0,137.7,427.6
Movie Title 64,Animation,2008,6.6,391642,70,Denis Villeneuve,Italian,South Korea,78.7,393.3,85.0,314.6,399.7
Movie Title 65,Crime,1997,7.5,199784,132,Denis Villeneuve,German,Australia,8.7,13.7,89.0,5.0,57.5
Movie Title 66,Action,2005,4.3,108096,91,Guillermo del Toro,Hindi,Germany,13.2,55.5,91.0,42.3,320.5
Movie Title 67,Crime,2023,8.1,1142340,139,Denis Villeneuve,Spanish,UK,11.9,68.8,,56.9,478.2
Movie Title 68,Documentary,2013,7.3,447790,194,David Lynch,German,Japan,18.3,142.6,63.0,124.3,679.2
Movie Title 69,Romance,1989,6.1,611032,218,Steven Spielberg,Japanese,UK,44.7,79.2,79.0,34.5,77.2
Movie Title 70,Drama,2015,5.1,815914,165,Coen Brothers,Spanish,France,7.1,1.9,66.0,-5.2,-73.2
Movie Title 71,Animation,1993,8.0,1583035,148,Martin Scorsese,Spanish,Australia,121.6,95.7,59.0,-25.9,-21.3
Movie Title 72,Documentary,2010,6.1,1674619,74,Coen Brothers,Korean,UK,21.2,66.4,26.0,45.2,213.2
Movie Title 73,Romance,1994,6.5,1541724,129,Peter Jackson,German,Australia,10.6,70.0,65.0,59.4,560.4
Movie Title 74,Horror,1987,7.0,1681989,189,Martin Scorsese,Korean,Germany,67.6,17.3,42.0,-50.3,-74.4
Movie Title 75,Action,1993,5.4,1966730,115,Steven Spielberg,Spanish,UK,2.3,8.7,65.0,6.4,278.3
Movie Title 76,Sci-Fi,2002,6.2,369226,203,Peter Jackson,German,Australia,58.1,160.8,32.0,102.7,176.8
Movie Title 77,Sci-Fi,2019,7.5,1053272,125,Guillermo del Toro,French,UK,71.9,43.8,40.0,-28.1,-39.1
Movie Title 78,Crime,2000,7.4,127310,179,Coen Brothers,German,UK,14.5,53.8,20.0,39.3,271.0
Movie Title 79,Thriller,1995,7.4,1987138,173,Peter Jackson,Korean,USA,2.6,5.7,38.0,3.1,119.2
Movie Title 80,Romance,1997,5.1,676673,146,Quentin Tarantino,Hindi,South Korea,27.1,79.8,79.0,52.7,194.5
Movie Title 81,Horror,2003,6.2,806581,215,David Lynch,Japanese,Japan,6.2,35.4,52.0,29.2,471.0
Movie Title 82,Documentary,2005,6.0,1966072,71,Alfonso Cuaron,Japanese,France,7.4,31.6,23.0,24.2,327.0
Movie Title 83,Action,2004,7.0,1889529,77,Peter Jackson,Italian,Japan,17.6,20.6,22.0,3.0,17.0
Movie Title 84,Romance,2020,6.9,1095316,144,Martin Scorsese,Hindi,USA,21.0,161.7,71.0,140.7,670.0
Movie Title 85,Horror,2008,6.7,107611,194,Denis Villeneuve,Hindi,USA,45.3,233.8,47.0,188.5,416.1
Movie Title 86,Drama,1994,9.5,399172,107,Denis Villeneuve,Hindi,Germany,68.1,420.4,89.0,352.3,517.3
Movie Title 87,Animation,1980,6.2,469947,96,Stanley Kubrick,Italian,USA,53.9,44.1,89.0,-9.8,-18.2
Movie Title 88,Sci-Fi,2004,6.0,476828,89,Wes Anderson,Hindi,South Korea,9.6,5.4,74.0,-4.2,-43.7
Movie Title 89,Documentary,1986,5.1,774210,209,David Fincher,English,USA,11.3,4.0,76.0,-7.3,-64.6
Movie Title 90,Sci-Fi,1988,4.7,329785,112,Coen Brothers,Italian,UK,126.6,211.8,35.0,85.2,67.3
Movie Title 91,Documentary,2003,5.0,1637675,100,Stanley Kubrick,Japanese,Japan,49.0,168.2,43.0,119.2,243.3
Movie Title 92,Crime,1980,5.6,446376,160,Quentin Tarantino,English,India,122.4,917.9,88.0,795.5,649.9
Movie Title 93,Thriller,2023,8.1,707673,130,Martin Scorsese,Italian,France,27.9,105.0,60.0,77.1,276.3
Movie Title 94,Documentary,1987,6.5,1637096,178,Martin Scorsese,Spanish,USA,57.2,140.9,96.0,83.7,146.3
Movie Title 95,Sci-Fi,2003,6.7,802849,160,Stanley Kubrick,Spanish,Japan,44.5,203.9,66.0,159.4,358.2
Movie Title 96,Crime,1990,6.4,1729665,164,Alfonso Cuaron,Japanese,Germany,23.1,24.8,95.0,1.7,7.4
Movie Title 97,Documentary,1996,6.9,1162068,212,James Cameron,Spanish,USA,38.1,188.8,88.0,150.7,395.5
Movie Title 98,Drama,1987,8.2,1079675,213,Wes Anderson,Hindi,South Korea,41.9,194.2,50.0,152.3,363.5
Movie Title 99,Thriller,2014,4.1,1036891,82,Stanley Kubrick,Italian,USA,13.4,85.5,49.0,72.1,538.1
Movie Title 100,Documentary,2014,8.0,754494,182,David Lynch,English,USA,22.7,179.2,37.0,156.5,689.4
Movie Title 101,Crime,2012,3.5,424177,104,Christopher Nolan,Hindi,Australia,94.0,202.7,63.0,108.7,115.6
Movie Title 102,Romance,1984,6.5,1979682,218,Coen Brothers,Spanish,Australia,148.5,620.0,46.0,471.5,317.5
Movie Title 103,Comedy,2021,9.1,643762,117,Martin Scorsese,Korean,USA,26.8,195.3,45.0,168.5,628.7
Movie Title 104,Horror,2018,7.3,1320976,104,David Lynch,German,Germany,22.0,139.1,79.0,117.1,532.3
Movie Title 105,Comedy,2020,6.9,1528912,155,Ridley Scott,English,Australia,13.0,52.0,37.0,39.0,300.0
Movie Title 106,Comedy,2007,8.9,768876,183,Martin Scorsese,Hindi,USA,68.1,515.8,75.0,447.7,657.4
Movie Title 107,Action,1986,5.7,1608545,169,James Cameron,Italian,France,23.4,15.1,50.0,-8.3,-35.5
Movie Title 108,Drama,1988,7.0,1140904,168,Peter Jackson,Japanese,Japan,264.1,1970.7,78.0,1706.6,646.2
Movie Title 109,Romance,1987,7.2,1792376,72,Steven Spielberg,Hindi,Australia,23.6,14.0,21.0,-9.6,-40.7
Movie Title 110,Animation,1991,5.9,983293,154,Wes Anderson,Korean,Australia,30.1,134.5,58.0,104.4,346.8
Movie Title 111,Documentary,2013,6.0,306505,194,Steven Spielberg,Spanish,South Korea,55.5,396.6,80.0,341.1,614.6
Movie Title 112,Horror,2012,5.8,1507295,207,Alfonso Cuaron,English,USA,97.1,218.4,82.0,121.3,124.9
Movie Title 113,Thriller,2002,6.6,1084116,152,Ridley Scott,Japanese,USA,38.0,147.6,37.0,109.6,288.4
Movie Title 114,Romance,2003,7.2,1207184,94,Ridley Scott,English,USA,33.0,90.1,36.0,57.1,173.0
Movie Title 115,Sci-Fi,2016,6.6,1134276,137,Wes Anderson,Japanese,USA,326.1,2487.1,58.0,2161.0,662.7
Movie Title 116,Animation,2014,7.4,981547,130,Wes Anderson,German,Australia,0.6,4.0,90.0,3.4,566.7
Movie Title 117,Action,2023,4.1,341676,98,David Fincher,Italian,UK,135.3,775.3,73.0,640.0,473.0
Movie Title 118,Action,2019,6.2,1761511,196,Alfonso Cuaron,English,UK,9.7,46.4,95.0,36.7,378.4
Movie Title 119,Romance,2001,5.3,390770,88,Guillermo del Toro,Spanish,India,92.5,610.6,54.0,518.1,560.1
Movie Title 120,Crime,2006,6.9,1445663,143,Wes Anderson,Italian,USA,57.7,188.1,30.0,130.4,226.0
Movie Title 121,Comedy,2014,6.8,47002,130,David Lynch,Italian,India,25.1,92.6,80.0,67.5,268.9
Movie Title 122,Sci-Fi,1980,6.4,1099388,89,Steven Spielberg,German,France,124.2,732.0,,607.8,489.4
Movie Title 123,Action,2014,7.1,416842,117,Peter Jackson,Japanese,India,0.8,2.4,87.0,1.6,200.0
Movie Title 124,Horror,2016,7.7,716339,156,Stanley Kubrick,French,Japan,15.4,10.8,44.0,-4.6,-29.9
Movie Title 125,Action,1993,6.4,1307482,208,Steven Spielberg,English,UK,50.2,39.1,67.0,-11.1,-22.1
Movie Title 126,Thriller,1982,5.2,1158522,179,Guillermo del Toro,English,UK,26.0,28.6,,2.6,10.0
Movie Title 127,Documentary,1980,4.6,1116244,97,Christopher Nolan,Hindi,USA,56.6,395.3,23.0,338.7,598.4
Movie Title 128,Action,1984,6.5,100003,128,Coen Brothers,Japanese,Australia,1.5,5.8,57.0,4.3,286.7
Movie Title 129,Thriller,2005,6.8,1785006,202,Steven Spielberg,Korean,USA,7.4,42.6,,35.2,475.7
Movie Title 130,Romance,1993,5.3,221462,120,Alfonso Cuaron,French,France,8.2,26.8,,18.6,226.8
Movie Title 131,Romance,2018,7.4,1879006,218,Denis Villeneuve,Spanish,South Korea,12.6,27.9,20.0,15.3,121.4
Movie Title 132,Animation,2006,5.9,720174,81,David Fincher,Hindi,France,36.9,107.3,22.0,70.4,190.8
Movie Title 133,Action,1988,4.5,629889,119,James Cameron,German,Japan,83.7,535.2,81.0,451.5,539.4
Movie Title 134,Horror,1994,8.0,270956,201,Ridley Scott,French,USA,141.6,718.9,,577.3,407.7
Movie Title 135,Action,1994,7.9,62844,182,Alfonso Cuaron,Japanese,USA,108.2,813.0,36.0,704.8,651.4
Movie Title 136,Horror,2005,4.1,1775029,83,Christopher Nolan,French,France,13.2,72.6,97.0,59.4,450.0
Movie Title 137,Drama,2021,5.8,396395,101,Stanley Kubrick,German,France,34.9,162.2,81.0,127.3,364.8
Movie Title 138,Animation,1992,5.8,1748734,208,Ridley Scott,Italian,France,13.3,66.0,54.0,52.7,396.2
Movie Title 139,Drama,2011,8.5,1124177,215,Alfonso Cuaron,English,UK,18.4,138.9,32.0,120.5,654.9
Movie Title 140,Action,2018,6.4,926779,124,Stanley Kubrick,Italian,India,42.0,266.6,54.0,224.6,534.8
Movie Title 141,Animation,2011,4.7,311001,189,David Fincher,English,India,4.2,1.6,62.0,-2.6,-61.9
Movie Title 142,Drama,1983,7.6,388699,144,Guillermo del Toro,Hindi,USA,14.8,64.6,21.0,49.8,336.5
Movie Title 143,Comedy,2009,5.0,1544276,90,Martin Scorsese,German,UK,164.4,915.6,75.0,751.2,456.9
Movie Title 144,Action,2016,6.2,1332420,202,Wes Anderson,Japanese,France,37.7,227.7,96.0,190.0,504.0
Movie Title 145,Drama,2002,5.6,1831791,156,Christopher Nolan,Japanese,USA,35.4,65.9,70.0,30.5,86.2
Movie Title 146,Comedy,2018,5.8,433680,128,Wes Anderson,French,UK,0.9,6.3,73.0,5.4,600.0
Movie Title 147,Comedy,1994,7.6,1222999,158,Quentin Tarantino,Hindi,Japan,17.1,130.9,35.0,113.8,665.5
Movie Title 148,Romance,2022,8.3,94330,219,Christopher Nolan,Japanese,South Korea,120.7,247.0,37.0,126.3,104.6
Movie Title 149,Action,2008,5.0,226391,152,David Lynch,Korean,UK,10.8,76.5,26.0,65.7,608.3
Movie Title 150,Comedy,2015,7.3,214606,134,David Fincher,Korean,Germany,32.2,30.8,64.0,-1.4,-4.3
Movie Title 151,Romance,1992,5.6,408085,133,James Cameron,Italian,USA,0.9,0.6,,-0.3,-33.3
Movie Title 152,Drama,2011,5.7,192387,140,Christopher Nolan,English,Australia,39.0,47.1,60.0,8.1,20.8
Movie Title 153,Thriller,1986,7.1,1290709,73,David Lynch,French,India,1.3,0.8,,-0.5,-38.5
Movie Title 154,Action,2001,5.3,1536480,212,David Fincher,Spanish,Germany,102.8,698.1,26.0,595.3,579.1
Movie Title 155,Animation,2007,7.1,415170,173,Peter Jackson,German,France,104.5,69.0,,-35.5,-34.0
Movie Title 156,Horror,1981,7.4,687915,219,Coen Brothers,English,South Korea,93.0,215.7,79.0,122.7,131.9
Movie Title 157,Horror,2021,6.0,1375073,162,Steven Spielberg,Hindi,Australia,20.0,20.2,,0.2,1.0
Movie Title 158,Drama,1985,8.1,1524982,211,Peter Jackson,Japanese,Japan,108.9,272.7,56.0,163.8,150.4
Movie Title 159,Crime,2007,5.0,439242,217,David Fincher,English,Australia,47.0,42.6,85.0,-4.4,-9.4
Movie Title 160,Crime,2007,8.1,363916,181,Denis Villeneuve,Spanish,South Korea,28.1,152.0,74.0,123.9,440.9
Movie Title 161,Drama,2023,4.2,179048,188,Martin Scorsese,Spanish,Australia,58.9,73.0,96.0,14.1,23.9
Movie Title 162,Comedy,2023,9.7,999082,128,Steven Spielberg,Korean,South Korea,0.7,4.8,99.0,4.1,585.7
Movie Title 163,Action,1999,6.0,1403222,112,Denis Villeneuve,Hindi,UK,9.3,61.1,75.0,51.8,557.0
Movie Title 164,Horror,2009,5.1,1425663,81,Stanley Kubrick,English,USA,81.4,25.0,63.0,-56.4,-69.3
Movie Title 165,Horror,1990,6.2,372994,109,James Cameron,French,Australia,16.8,120.7,76.0,103.9,618.5
Movie Title 166,Comedy,2007,5.2,1618959,187,Ridley Scott,English,Australia,54.7,23.3,25.0,-31.4,-57.4
Movie Title 167,Horror,2004,7.0,1194918,89,Quentin Tarantino,Korean,USA,29.2,60.4,51.0,31.2,106.8
Movie Title 168,Animation,2018,8.1,687268,200,Steven Spielberg,Italian,South Korea,115.8,52.4,93.0,-63.4,-54.7
Movie Title 169,Action,2012,5.3,802955,159,Peter Jackson,Spanish,France,182.7,515.1,37.0,332.4,181.9
Movie Title 170,Documentary,1980,7.2,1112009,163,Martin Scorsese,Hindi,USA,129.0,542.9,87.0,413.9,320.9
Movie Title 171,Horror,2006,4.7,545279,82,Alfonso Cuaron,Hindi,South Korea,18.9,121.2,92.0,102.3,541.3
Movie Title 172,Drama,1992,7.7,273919,135,David Lynch,French,USA,13.0,36.9,26.0,23.9,183.8
Movie Title 173,Animation,2020,7.0,1520593,106,Denis Villeneuve,Hindi,France,38.6,220.1,27.0,181.5,470.2
Movie Title 174,Horror,1982,7.8,348139,135,David Lynch,Korean,Japan,0.4,0.7,83.0,0.3,75.0
Movie Title 175,Animation,2018,6.4,979754,105,David Fincher,Korean,Germany,1.6,9.7,26.0,8.1,506.2
Movie Title 176,Romance,1985,6.0,148745,95,Steven Spielberg,Korean,South Korea,48.4,98.8,,50.4,104.1
Movie Title 177,Documentary,1987,7.5,1696672,144,David Lynch,Hindi,India,44.1,58.2,,14.1,32.0
Movie Title 178,Sci-Fi,2006,4.9,1731992,177,Ridley Scott,Hindi,India,313.1,515.4,22.0,202.3,64.6
Movie Title 179,Drama,1988,4.4,138686,112,Wes Anderson,Korean,South Korea,13.5,21.9,36.0,8.4,62.2
Movie Title 180,Drama,2016,6.5,1056991,219,David Fincher,Hindi,UK,17.9,75.2,85.0,57.3,320.1
Movie Title 181,Action,2012,6.0,1819902,217,Denis Villeneuve,German,Japan,7.2,48.9,98.0,41.7,579.2
Movie Title 182,Animation,2021,7.2,1486676,77,Wes Anderson,Hindi,UK,149.7,122.9,71.0,-26.8,-17.9
Movie Title 183,Comedy,2023,7.8,1984044,98,Martin Scorsese,German,Germany,90.3,516.0,41.0,425.7,471.4
Movie Title 184,Drama,2003,7.1,956230,109,Christopher Nolan,Spanish,India,103.7,550.0,23.0,446.3,430.4
Movie Title 185,Animation,1994,7.7,1828069,197,David Lynch,English,France,139.8,979.4,25.0,839.6,600.6
Movie Title 186,Animation,2011,6.9,1348764,153,Ridley Scott,Japanese,South Korea,44.7,94.1,57.0,49.4,110.5
Movie Title 187,Thriller,2011,7.1,1762085,185,David Fincher,German,Germany,36.0,133.6,45.0,97.6,271.1
Movie Title 188,Thriller,2003,6.4,1218192,213,Ridley Scott,German,Australia,24.1,178.9,30.0,154.8,642.3
Movie Title 189,Sci-Fi,2020,7.1,50976,131,James Cameron,Hindi,Australia,53.4,285.6,36.0,232.2,434.8
Movie Title 190,Romance,1991,6.7,426468,76,Wes Anderson,Japanese,USA,36.3,117.3,50.0,81.0,223.1
Movie Title 191,Sci-Fi,2018,6.9,266976,114,Alfonso Cuaron,Italian,India,36.0,44.1,96.0,8.1,22.5
Movie Title 192,Horror,1981,6.3,1271459,157,David Fincher,Japanese,Japan,165.8,372.6,54.0,206.8,124.7
Movie Title 193,Comedy,1982,7.5,212509,142,Steven Spielberg,Spanish,India,248.2,1174.8,35.0,926.6,373.3
Movie Title 194,Horror,2016,5.6,1546541,106,Stanley Kubrick,German,Japan,95.5,554.1,98.0,458.6,480.2
Movie Title 195,Crime,1996,6.5,1870156,188,Alfonso Cuaron,Hindi,Japan,84.8,99.3,37.0,14.5,17.1
Movie Title 196,Horror,1981,8.1,1813105,126,Stanley Kubrick,Korean,South Korea,68.5,334.1,81.0,265.6,387.7
Movie Title 197,Action,1981,5.4,1568399,77,Christopher Nolan,Japanese,Japan,10.9,49.0,46.0,38.1,349.5
Movie Title 198,Horror,2007,3.9,220526,164,Christopher Nolan,Hindi,UK,3.7,15.6,54.0,11.9,321.6
Movie Title 199,Sci-Fi,2002,6.9,1948238,186,Stanley Kubrick,French,Australia,70.4,393.0,64.0,322.6,458.2
Movie Title 200,Drama,2016,6.2,1396796,179,David Lynch,Italian,Germany,78.3,527.1,54.0,448.8,573.2
Movie Title 201,Drama,2011,7.7,995620,89,Quentin Tarantino,Korean,France,2.9,7.9,47.0,5.0,172.4
Movie Title 202,Thriller,2012,6.3,1874410,193,Ridley Scott,French,India,157.9,1126.5,28.0,968.6,613.4
Movie Title 203,Comedy,1980,5.8,1762663,122,Guillermo del Toro,French,France,5.7,8.3,95.0,2.6,45.6
Movie Title 204,Comedy,1998,6.4,39578,188,Peter Jackson,Japanese,Germany,20.2,31.3,34.0,11.1,55.0
Movie Title 205,Action,1981,7.8,615741,81,Christopher Nolan,French,USA,67.0,152.8,,85.8,128.1
Movie Title 206,Sci-Fi,2023,7.2,1465110,86,Alfonso Cuaron,Spanish,Germany,11.2,12.7,71.0,1.5,13.4
Movie Title 207,Thriller,2005,3.6,863147,133,Christopher Nolan,Spanish,India,3.4,6.8,54.0,3.4,100.0
Movie Title 208,Crime,2011,6.7,209859,111,Guillermo del Toro,Japanese,Australia,24.1,24.8,70.0,0.7,2.9
Movie Title 209,Comedy,1985,6.8,112435,163,Guillermo del Toro,Hindi,France,87.1,575.7,74.0,488.6,561.0
Movie Title 210,Drama,2011,6.5,741389,216,James Cameron,English,France,32.0,41.1,96.0,9.1,28.4
Movie Title 211,Horror,1983,5.8,1201114,80,Coen Brothers,Hindi,South Korea,63.5,382.8,63.0,319.3,502.8
Movie Title 212,Horror,1990,7.9,1931750,167,James Cameron,Hindi,South Korea,52.0,29.8,84.0,-22.2,-42.7
Movie Title 213,Thriller,1996,8.0,46475,140,James Cameron,Hindi,Germany,1.3,9.9,99.0,8.6,661.5
Movie Title 214,Sci-Fi,2017,3.9,847574,177,Coen Brothers,Hindi,Germany,268.1,1540.8,44.0,1272.7,474.7
Movie Title 215,Sci-Fi,2003,5.5,1790096,127,Ridley Scott,Korean,USA,2.5,0.6,66.0,-1.9,-76.0
Movie Title 216,Romance,1984,6.3,1207212,103,David Fincher,English,Japan,206.2,1269.8,99.0,1063.6,515.8
Movie Title 217,Documentary,2013,7.6,1203060,89,Martin Scorsese,Korean,India,47.9,201.7,75.0,153.8,321.1
Movie Title 218,Comedy,1985,6.5,1143102,119,Peter Jackson,French,South Korea,198.1,1243.9,57.0,1045.8,527.9
Movie Title 219,Sci-Fi,2001,5.7,1100577,171,Guillermo del Toro,Italian,India,7.3,31.2,30.0,23.9,327.4
Movie Title 220,Drama,1990,7.4,845081,207,Christopher Nolan,Hindi,USA,40.4,210.1,86.0,169.7,420.0
Movie Title 221,Thriller,1995,6.2,193029,121,Quentin Tarantino,Italian,South Korea,11.1,70.3,34.0,59.2,533.3
Movie Title 222,Crime,2012,6.4,429733,84,Peter Jackson,Spanish,South Korea,3.1,10.4,20.0,7.3,235.5
Movie Title 223,Romance,1988,6.5,669516,153,Stanley Kubrick,Japanese,Japan,57.7,12.8,26.0,-44.9,-77.8
Movie Title 224,Animation,1985,7.2,941568,200,David Lynch,Japanese,India,14.0,95.6,20.0,81.6,582.9
Movie Title 225,Action,1995,6.1,1599575,106,David Fincher,Korean,Australia,53.2,168.7,68.0,115.5,217.1
Movie Title 226,Crime,2008,7.3,1603970,195,Coen Brothers,Korean,India,7.2,29.3,,22.1,306.9
Movie Title 227,Animation,1982,6.4,1901466,109,Peter Jackson,Spanish,India,24.2,6.3,,-17.9,-74.0
Movie Title 228,Horror,1999,5.2,1983669,141,Christopher Nolan,Hindi,Japan,91.3,368.7,45.0,277.4,303.8
